number,value,datetime_start,datetime_complete,duration,params_fast_period,params_signal_period,params_slow_period,state
0,-1000.0,2026-04-11 00:45:59.693669,2026-04-11 00:46:03.703493,0 days 00:00:04.009824,10,13,58,COMPLETE
1,-1000.0,2026-04-11 00:46:03.958958,2026-04-11 00:46:05.437503,0 days 00:00:01.478545,14,6,26,COMPLETE
2,-1000.0,2026-04-11 00:46:05.691112,2026-04-11 00:46:07.640217,0 days 00:00:01.949105,5,11,55,COMPLETE
3,-1000.0,2026-04-11 00:46:07.897554,2026-04-11 00:46:10.726643,0 days 00:00:02.829089,16,15,20,COMPLETE
4,-1000.0,2026-04-11 00:46:10.983867,2026-04-11 00:46:13.788039,0 days 00:00:02.804172,18,7,28,COMPLETE
5,-1000.0,2026-04-11 00:46:14.038458,2026-04-11 00:46:14.738509,0 days 00:00:00.700051,7,10,32,COMPLETE
6,-1000.0,2026-04-11 00:46:14.984682,2026-04-11 00:46:16.277734,0 days 00:00:01.293052,11,11,31,COMPLETE
7,-1000.0,2026-04-11 00:46:16.530899,2026-04-11 00:46:18.337397,0 days 00:00:01.806498,7,9,31,COMPLETE
8,-1000.0,2026-04-11 00:46:18.583928,2026-04-11 00:46:20.233134,0 days 00:00:01.649206,12,7,52,COMPLETE
9,-1000.0,2026-04-11 00:46:20.484436,2026-04-11 00:46:21.840212,0 days 00:00:01.355776,13,5,44,COMPLETE
